ncesid,state_id,District,ADM,ADM_persqmile,stpov_count,stpov_rate,ELL_count,ELL_rate,sr_BEP,srpp_BEP,lr_BEP,lrpp_BEP,slr_BEP,slrpp_BEP,lr,lrpp,lr_pct,sr,srpp,sr_pct,slr,slrpp,perpupil_transp,total_transport_aid,transp_cost_perpupil
4701920,420,Houston County,1286.7495350000002,192.8870536651177,445,0.3458326487757386,1,7.771520197207609e-4,8963000,6965.61355275718,2431000,1889.2565599411696,11394000,8854.870112698349,1806519,1393.9189814814815,0.1366873979179462,9881544,7624.648148148148,0.7476713706148088,11688063,9018.56712962963,1307.9353191666667,687335.5086306167,525.5118495221486
4701950,271,Humboldt City,1030.962265,8.3012244150281,677,0.6566680692236588,21,0.020369319724810687,6845000,6639.428262682341,3508000,3402.646361649328,10353000,10042.074624331668,3027122.06,2746.934718693285,0.22949127425699156,7727874.220000001,7012.590036297641,0.5858632942094033,10754996.280000001,9759.524754990927,1041.8487791666666,276070.66867722885,264.9815157417056
4701980,430,Humphreys County,2842.0101349999995,523.6797742767643,960,0.33778908392246115,31,0.010907772501662808,15242000,5363.105434527242,9861000,3469.7272464160305,25103000,8832.832680943273,7352048,2592.400564174894,0.2685849174333269,16832174,5935.181241184768,0.6149127513875579,24184222,8527.581805359661,2841.3630266666673,1083747.351774161,381.4181227822741
4702010,093,Huntingdon Special School District,1283.935675,116.85953171930463,518,0.40344700290378643,0,0,7624000,5937.992181734494,3474000,2705.7430271964367,11098000,8643.735208930932,2885036,2259.229444009397,0.22858855184185006,8117476,6356.676585747847,0.643167739830967,11002512,8615.906029757243,NA,NA,NA
4702070,440,Jackson County,1410.6888250000002,304.9478653264159,636,0.4508435799085599,9,0.006379861979838111,10111000,7167.42049757146,3312000,2347.789208580425,13423000,9515.209706151885,3096128.2100000004,2261.5984002921846,0.18960219197267789,11008350.56,8041.161840759679,0.674134678737886,14104478.770000001,10302.760241051863,1447.8406633333334,766457.8495372143,529.3799718075429
4702100,450,Jefferson County,6936.567702499999,301.74733350008694,2650,0.38203332161595094,352,0.05074555819200556,38097000,5492.1975296614655,22717000,3274.9626291130407,60814000,8767.160158774506,18416527,2634.696280400572,0.2745844818195938,41456610,5930.845493562232,0.6181046934010408,59873137,8565.541773962805,7091.722903333332,2798685.094482005,394.6410671469602
4702130,901,Johnson City,7801.989999999999,37.06426158794103,2661,0.34106683038558117,470,0.0602410410677276,33700000,4319.410816983873,49850000,6389.395526013236,83550000,10708.806342997108,47765508.97,6040.914249399267,0.5350453531555652,34595709.57,4375.326871126849,0.3875238439555566,82361218.53999999,10416.241120526114,7758.480745000001,1816063.7367432655,234.07465925769534
4702160,460,Johnson County,1950.201855,283.54199694678687,878,0.4502098066151209,39,0.019997929906594207,13346000,6843.394167523238,5118000,2624.343724665363,18464000,9467.737892188601,4356799.839999999,2203.742964087,0.19580097653691297,14276088.43,7221.086712190187,0.6415883580553302,18632888.27,9424.829676277188,1993.3735541666665,1017046.8698085421,510.2138872479024
4702190,822,Kingsport City,7327.264575,51.09597198783839,2763,0.3770847867875714,96,0.013101751549622459,31833000,4344.458927907623,48840000,6665.516100870426,80673000,11009.975028778048,46357856,6295.200434546442,0.5299804642406867,33258183,4516.320342205323,0.38022007027550436,79616039,10811.520776751766,7312.9696775,1607035.6688107818,219.75144704280524
4702220,470,Knox County,58917.625765000004,509.1659243047514,16468,0.2795088869616808,3708,0.06293532626025701,230236000,3907.7609969947503,301881000,5123.780805494242,532117000,9031.541802488991,282897189.55,4724.401963092852,0.4871895779967618,234522087.90999997,3916.5345342351366,0.40388070741013254,517419277.46,8640.93649732799,58346.12635,20297653.160750482,347.8834745427874
4702280,480,Lake County,708.34125,178.37855703852932,457,0.6451692598729779,1,0.0014117489275119867,5194000,7332.623929497259,1575000,2223.504560831379,6769000,9556.128490328638,1403548,1996.5120910384069,0.15311824709985303,6512353,9263.660028449502,0.7104566967823467,7915901,11260.172119487908,767.5102983333333,284324.77742970525,370.4507653475442
